product,max_drawdown,min_pnl,max_pnl,strategy,scope,category,component
PEBBLES_M,0.0,0.0,0.0,round5_candidate_22.py,portal,PEBBLES,pebbles
PEBBLES_S,0.0,0.0,0.0,round5_candidate_22.py,portal,PEBBLES,pebbles
PEBBLES_XL,0.0,0.0,0.0,round5_candidate_22.py,portal,PEBBLES,pebbles
PEBBLES_XS,0.0,0.0,0.0,round5_candidate_22.py,portal,PEBBLES,pebbles
ROBOT_DISHES,0.0,0.0,0.0,round5_candidate_22.py,portal,ROBOT,other
ROBOT_IRONING,0.0,0.0,0.0,round5_candidate_22.py,portal,ROBOT,long_horizon_non_pebbles
ROBOT_LAUNDRY,0.0,0.0,0.0,round5_candidate_22.py,portal,ROBOT,long_horizon_non_pebbles
ROBOT_MOPPING,-2125.0,-84.0,3550.0,round5_candidate_22.py,portal,ROBOT,unresolved_non_pebbles
ROBOT_VACUUMING,0.0,0.0,0.0,round5_candidate_22.py,portal,ROBOT,other
SLEEP_POD_COTTON,-2015.0,-768.5,3790.0,round5_candidate_22.py,portal,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_LAMB_WOOL,-1788.5,-338.0,3674.5,round5_candidate_22.py,portal,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_NYLON,-1068.0,-238.5,858.0,round5_candidate_22.py,portal,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_POLYESTER,-4603.0,-504.0,4099.0,round5_candidate_22.py,portal,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_SUEDE,0.0,0.0,0.0,round5_candidate_22.py,portal,SLEEP_POD,long_horizon_non_pebbles
SNACKPACK_CHOCOLATE,0.0,0.0,0.0,round5_candidate_22.py,portal,SNACKPACK,other
SNACKPACK_PISTACHIO,0.0,0.0,0.0,round5_candidate_22.py,portal,SNACKPACK,other
SNACKPACK_RASPBERRY,0.0,0.0,0.0,round5_candidate_22.py,portal,SNACKPACK,other
SNACKPACK_STRAWBERRY,0.0,0.0,0.0,round5_candidate_22.py,portal,SNACKPACK,other
SNACKPACK_VANILLA,0.0,0.0,0.0,round5_candidate_22.py,portal,SNACKPACK,other
TRANSLATOR_ASTRO_BLACK,0.0,0.0,0.0,round5_candidate_22.py,portal,TRANSLATOR,other
TRANSLATOR_ECLIPSE_CHARCOAL,0.0,0.0,0.0,round5_candidate_22.py,portal,TRANSLATOR,other
TRANSLATOR_GRAPHITE_MIST,-2080.0,-572.0,2750.0,round5_candidate_22.py,portal,TRANSLATOR,unresolved_non_pebbles
TRANSLATOR_SPACE_GRAY,0.0,0.0,0.0,round5_candidate_22.py,portal,TRANSLATOR,other
